Number,Title,Artists
311,MY EYES,Travis Scott
312,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti"
313,I KNOW ?,Travis Scott
314,K-POP (feat. Bad Bunny &amp; The Weeknd),"Travis Scott, Bad Bunny, The Weeknd"
315,TELEKINESIS (feat. SZA &amp; Future),"Travis Scott, SZA, Future"
316,SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott"
317,151 Rum,JID
318,Another One Of Me (feat. 21 Savage),"Diddy, The Weeknd, French Montana, 21 Savage"
319,Son Of A Gun,Key Glock
320,Lovin On Me,Jack Harlow
321,GTB,"JEY BROWNIE, FLEM KGB"
322,redrum,21 Savage
323,knight - slowed,escorte
324,Follow God,Kanye West
325,BANDIT,Don Toliver
326,Tough,"Quavo, Lana Del Rey"
